OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
Legislative Branch,Legislative Branch Boards and Commissions    ,,,DEPARTMENT OF THE AIR FORCE AF,AIR WEATHER SERVICE AF2Q,National Bipartisan Commission on Future of Medicare,,,,Employment and Training Administration,,Defense Counterintelligence and Security Agency,,,,,,"Legislative, All Other",9,0,Federal Transit Administration (FTA),,,HRSA,
Legislative Branch,Library of Congress    ,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE PROGRAM EXECUTIVE OFFICE AF2R,National Commission on Intermodal Transportation,,,,Employment Standards Administration,,Defense Finance and Accounting Service,,,,,,United States Botanic Garden,9,1,Financial Crimes Enforcement Network (FinCEN),,,HUD,
Legislative Branch,Office of Congressional Workplace Rights    ,,,DEPARTMENT OF THE AIR FORCE AF,HQ NORAD AF2S,National Commission on Libraries and Information Science,,,,Energy Efficiency and Renewable Energy Office,,Defense Finance and Accounting Service Debt and Claims Management Center,,,,,,Office of Technology Assessment,9,2,Financial Management Service (FMS),,,ICE,
Legislative Branch,Architect of the Capitol    ,Architect of the Capitol,,,,Architect of the Capitol,,,,,Architect of the Capitol,Architect of the Capitol,,Architect of the Capitol,Architect of the Capitol,,,Architect of the Capitol,1,0,Architect of the Capitol (AOC),,,,
Legislative Branch,Senate    ,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE SUPPLY CENTER AF2T,National Commission on Manufactured Housing,,,,Energy Information Administration,,Defense Health Agency,,,,,,National Commission on Children,9,3,Food & Drug Administration (FDA),,,IHS,
Legislative Branch,United States Tax Court    ,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE MORALE, WELFARE AND RECREATION CENTER AF2U",,,,,"Energy Office, Agriculture Department",,Defense Information Systems Agency,,,,,,Biomedical Ethics Board,9,4,,,,Immigration and Customs Enforcement,
Court Services and Offender Supervision Agency for the District of Columbia,,Independent Agencies,Court Services and Offender Supervision Agency for the District of Columbia,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA FQ,OFFICE OF THE DIRECTOR FQ01,Court Services and Offender Supervision Agency for the District of Columbia,,Court Services and Offender Supervision Agency for the District of Columbia,,Court Services and Offender Supervision Agency for the District of Columbia,,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,,,Court Services & Offender Supervision Agency (CSOSA),15,43,,,,,Court Services and Offender Supervision Agency
,,,,,,,,,,,,,,Court Services and Offender Supervision Agency,Office of information Technology,,,Court Services & Offender Supervision Agency (DC),95,63,,,,,
,,,,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA FQ,PRETRIAL SERVICES AGENCY FQ02,,,,,,,,,Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,,,,,,,,,,
,,,,DEPARTMENT OF THE AIR FORCE AF,11TH WING AF2W,National Commission on Terrorist Attacks Upon the United States,,,,Executive Office for Immigration Review,,Defense Intelligence Agency,,,,,,Copyright Royalty Tribunal,9,5,Ginnie Mae,,,Indian Health Service,
,,,,DEPARTMENT OF THE AIR FORCE AF,HQ AIR FORCE MEDICAL OPERATIONS AGENCY AF2Z,National Commission on the Cost of Higher Education,,,,Farm Production and Conservation Business Center,,Defense Legal Services Agency,,,,,,Office of Compliance,9,6,Government Accountability Office (GAO),,,Interior Department,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR NATIONAL GUARD UNITS (MOBILIZATION) (TITLE 5) AF34,National Counterintelligence Center,,,,Farm Service Agency,,Defense Logistics Agency,,,,,,Helping Enhance the Livelihood of People Around the Globe,9,7,Government Publishing Office (GPO),,,Internal Revenue Service,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND AF3C",National Crime Prevention and Privacy Compact Council,,,,Federal Accounting Standards Advisory Board,,Defense POW/MIA Accounting Agency,,,,,,National Commission on Terrorist Attacks Upon the United States,9,18,Health Resources & Services Administration (HRSA),,,IRS,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND AF3D",National Economic Council,,,,Federal Acquisition Regulation,,Defense Security Cooperation Agency,,,,,,,,,House of Representatives,,,Justice Department,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND AF3N",National Education Goals Panel,,,,Federal Aviation Administration,,Defense Technical Information Center,,,,,,Judiciary,10,0,Indian Health Service,,,Labor Department,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND AF3Q",National Gambling Impact Study Commission,,,,Federal Bureau of Investigation,,Defense Threat Reduction Agency,,,,,,,,,Internal Revenue Service (IRS),,,Marine Corps,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND AF3T",National Institute for Literacy,,,,Federal Crop Insurance Corporation,,,,,,,,Public Defender Service,10,2,Intl Trade Administration (ITA),,,Marines,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, OTHER THAN EUROPE AF3V","National Intelligence, Office of the National Director",,,,Federal Emergency Management Agency,,Drug Enforcement Administration,,,,,,Courts of the District of Columbia,10,3,Job Corp,,,,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE CENTER FOR ENVIRONMENTAL EXCELLENCE AF3W,National Nanotechnology Coordination Office,,,,,,Dwight D. Eisenhower School for National Security and Resource Strategy,,,,,,Bicentennial Commission of the Judicial Conference of the U.S.,10,4,Joint Chiefs of Staff,,,,
,,,,DEPARTMENT OF THE AIR FORCE AF,"AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND AF4D",National Partnership for Reinventing Government,,,,,,Economic Development Administration,,,,,,District Courts of the United States,10,5,Joint Service Schools,,,National Highway Traffic Safety Administration,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE DISTRICT OF WASHINGTON AF4W,National Prison Rape Elimination Commission,,,,,,"Economic Growth, Energy, and the Environment",,,,,,United States Bankruptcy Court,10,7,Library of Congress (LOC),,,National Institute of Standards and Technology,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE FINANCIAL SERVICES AF5J,National Security Commission on Artificial Intelligence,,,,Federal Highway Administration,,Economic Research Service,,,,,,United States Sentencing Commission,10,8,Maritime Administration (MARAD),,,National Institutes of Health,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE PETROLEUM AGENCY AF5K,National Security Council,,,,Federal Housing Enterprise Oversight Office,,Elder Justice Initiative,,,,,,Territorial Courts,10,9,Medicare Payment Advisory Comm (MedPAC),,,National Oceanic and Atmospheric Administration,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR FORCE GLOBAL STRIKE COMMAND AFGS,National Skill Standards Board,,,,Federal Housing Finance Board,,Employee Benefits Security Administration,,,,,,United States Courts of Appeals,10,11,Mine Safety & Health Administration (MSHA),,,National Park Service,
,,,,DEPARTMENT OF THE AIR FORCE AF,AIR NATIONAL GUARD UNITS (TITLE 32) AFNG,National Women's Business Council,,,,Federal Law Enforcement Training Center,,Employment and Training Administration,,,,,,United States Claims Court,10,13,Mine Safety & Health Review Comm,,,,
,,,,DEPARTMENT OF THE AIR FORCE AF,"U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32) AFZG",,,,,Federal Motor Carrier Safety Administration,,Endangered Species Program,,,,,,Bankruptcy Judge Courtrooms,10,14,Minerals Management Service,,,National Telecommunications and Information Administration,
,,,,DEPARTMENT OF THE ARMY AR,UNSPECIFIED AR**,Northeast Dairy Compact Commission,,,,Federal Prisons Bureau,,Energy Efficiency and Renewable Energy,,,,,,United States Court of International Trade,10,15,Minority Business Development Agency,,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY CENTRAL AR3A,Northeast Interstate Low-Level Radioactive Waste Commission,,,,Federal Procurement Policy Office,,Energy Information Administration,,,,,,Bankruptcy Clerk,10,16,Natl Archives & Records Administration (NARA),,,Navy Department,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY NORTH AR5A,,,,,Federal Railroad Administration,,English Language Acquisition Office,,,,,,United States Court of Appeals for the Federal Circuit,10,17,Natl Bioethics Advisory Comm,,,NHTSA,
,,,,DEPARTMENT OF THE ARMY AR,U. S. ARMY ACCESSION COMMAND ARAA,,,,,,,Executive Office for Immigration Review,,,,,,United States Supreme Court,10,19,Natl Capital Planning Comm (NCPC),,,NIH,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY CONTRACTING AGENCY ARAC,,,,,Federal Transit Administration,,Farm Service Agency,,,,,,Federal Judicial Center,10,20,Natl Comm Libraries & Information Science (NCLS),,,NIST,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY ACQUISITION SUPPORT CENTER ARAE,Ocean Policy Commission,,,,Financial Crimes Enforcement Network,,Federal Accounting Standards Advisory Board,,,,,,Judicial Panel on Multi-District Legislation,10,21,Natl Economic Council (NEC),,,NOAA,
,,,,DEPARTMENT OF THE ARMY AR,U. S. MILITARY ENTRANCE PROCESSING COMMAND ARAP,Office of National Drug Control Policy,,,,Financial Crisis Inquiry Commission,,Federal Aviation Administration,,,,,,Community Defenders,10,22,Natl Endowment for the Arts,,,NPS,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY INTELLIGENCE AND SECURITY COMMAND ARAS,Office of Policy Development,,,,Financial Stability Oversight Council,,Federal Bureau of Investigation,,,,,,Court of Appeals Judges Chambers,10,30,Natl Endowment for the Humanities,,,NRC,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY TEST AND EVALUATION COMMAND ARAT,Oklahoma City National Memorial Trust,,,,First Responder Network Authority,,Federal Consulting Group,,,,,,Court of Appeals Courtrooms,10,31,Natl Geospatial Intelligence Agency,,,NSF,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY INSTALLATION MANAGEMENT COMMAND ARBA,Ounce of Prevention Council,,,,Fiscal Service,,Federal Court Interpreters,,,,,,Court of Appeals Clerk,10,32,Natl Guard,,,NTIA,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY CRIMINAL INVESTIGATION COMMAND ARCB,Pacific Northwest Electric Power and Conservation Planning Council,,,,Fish and Wildlife Service,,Federal Emergency Management Agency,,,,,,Circuit Executive,10,33,Natl Highway Traffic Safety Administration (NHTSA),,,NTSB,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY CORPS OF ENGINEERS ARCE,Panama Canal Commission,,,,Food and Drug Administration,,,,,,,,Court of Appeals Central Legal Staff,10,35,,,,,
,,,,DEPARTMENT OF THE ARMY AR,IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY ARCS,,,,,Food and Nutrition Service,,Federal Executive Boards,,,,,,Circuit Libraries,10,37,Natl Institute of Justice,,,Occupational Safety and Health Administration,
,,,,DEPARTMENT OF THE ARMY AR,IMMEDIATE OFFICE OF THE COMMANDER ARE1,Physician Payment Review Commission,,,,Food Safety and Inspection Service,,,,,,,,District Judge Chambers,10,40,Natl Institute of Mental Health (NIMH),,,Office of Management and Budget,
,,,,DEPARTMENT OF THE ARMY AR,21ST THEATER ARMY AREA COMMAND ARE2,Postal Rate Commission,,,,Foreign Agricultural Service,,,,,,,,District Judge Courtrooms,10,41,Natl Institute of Standards & Technology (NIST),,,Office of National Drug Control Policy,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY V CORPS ARE5,,,,,Foreign Claims Settlement Commission,,Federal Geographic Data Committee,,,,,,Magistrate Judge Chambers,10,42,Natl Institute on Alcohol Abuse & Alcoholism (NIAA),,,,
,,,,DEPARTMENT OF THE ARMY AR,SEVENTH ARMY TRAINING COMMAND AREN,President's Council on Integrity and Efficiency,,,,Foreign-trade Zones Board,,Federal Highway Administration,,,,,,Magistrate Judge Courtrooms,10,43,Natl Institutes of Health (NIH),,,OMB,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY FORCES COMMAND ARFC,President's Critical Infrastructure Protection Board,,,,Forest Service,,Federal Home Loan Mortgage Corporation  (Freddie Mac),,,,,,District Clerk,10,44,Natl Oceanic & Atmospheric Administration (NOAA),,,ONDCP,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND ARG6,Presidential Advisory Committee on Gulf War Veterans' Illnesses,,,,Government Accountability Office,,Federal Housing Administration,,,,,,Probation,10,46,Natl Park Service (NPS),,,OPM,
,,,,DEPARTMENT OF THE ARMY AR,OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU ARGB,Presidential Commission on Assignment of Women in the Armed Forces,,,,,,Federal Interagency Council on Statistical Policy,,,,,,Pretrial Services,10,47,Natl Security Agency (NSA),,,OSHA,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY RESERVE COMMAND ARHR,Prospective Payment Assessment Commission,,,,Government Printing Office,,Federal Judicial Center,,,,,,State Courts,10,90,Natl Security Council (NSC),,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY ELEMENT SHAPE ARJ1,,,,,"Grain Inspection, Packers and Stockyards Administration",,Federal Laboratory Consortium for Technology Transfer,,,,,,"Courts, Joint Use Federal and State",10,91,Natl Technical Information Service,,,SBA,
,,,,DEPARTMENT OF THE ARMY AR,JOINT ACTIVITIES ARJA,Reagan-Udall Foundation for the Food and Drug Administration,,,,Gsa Acquisition Policy Federal Advisory Committee,,Federal Law Enforcement Training Center,,,,,,,,,Natl Telecomm & Info Administration (NTIA),,,Seal of the Bureau of Indian Affairs,
,,,,DEPARTMENT OF THE ARMY AR,U.S. MILITARY ACADEMY ARMA,Recovery Accountability and Transparency Board,,,,Health Resources and Services Administration,,Federal Library and Information Center Committee,,,,,,Department of the Navy,17,0,"Navy, Dept of Nuclear Regulatory Comm (NRC)",,,SEC,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY MEDICAL COMMAND ARMC,Regulatory Information Service Center,,,,,,Federal Motor Carrier Safety Administration,,,,,,Secretary of the Navy,17,1,Occupational Safety & Health Administration (OSHA),,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY MILITARY DISTRICT OF WASHINGTON ARMW,Resolution Trust Corporation,,,,Immigration and Customs Enforcement Bureau,,,,,,,,Chief of Naval Research,17,2,Occupational Safety & Health Review Comm,,,,
,,,,DEPARTMENT OF THE ARMY AR,ARMY NATIONAL GUARD UNITS (TITLE 32) ARNG,Science and Technology Policy Office,,,,Indian Arts and Crafts Board,,Federal Protective Service,,,,,,Commander in Chief Pacific Fleet,17,3,Office for Victims of Crime,,,,
,,,,DEPARTMENT OF THE ARMY AR,"U.S. ARMY, PACIFIC ARP1",,,,,Indian Health Service,,Federal Railroad Administration,,,,,,Comptroller of the Navy,17,4,Office of Administration,,,SSA,
,,,,DEPARTMENT OF THE ARMY AR,EIGHTH U.S. ARMY ARP8,Special Inspector General For Iraq Reconstruction,,,,Information Security Oversight Office,,,,,,,,Commander in Chief Atlantic Fleet,17,5,Office of Faith-Based & Community Initiatives,,,State Department,
,,,,DEPARTMENT OF THE ARMY AR,OFFICE OF THE SECRETARY OF THE ARMY ARSA,,,,,"Inspector General Office, Agriculture Department",,Federal Student Aid Information Center,,,,,,Chief of Naval Operations,17,6,Office of Justice Program,,,Transportation Department,
,,,,DEPARTMENT OF THE ARMY AR,FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY ARSB,,,,,"Inspector General Office, Health and Human Services Department",,Federal Transit Administration,,,,,,Naval Sea Systems Command,17,7,Office of Juvenile Justice & Delinquency Prevention,,,Transportation Security Administration,
,,,,DEPARTMENT OF THE ARMY AR,U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND ARSC,The White House Office,,,,Institute of American Indian and Alaska Native Culture and Arts Development,,Federal Voting Assistance Program,,,,,,Chief of Naval Education and Training,17,8,Office of Management & Budget (OMB),,,TREAS,
,,,,DEPARTMENT OF THE ARMY AR,HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES ARSE,Thrift Depositor Protection Oversight Board,,,,Internal Revenue Service,,Fish and Wildlife Service,,,,,,"Commander, Naval Air Atlantic Fleet",17,9,Office of Natl AIDS Policy,,,Treasury Department,
,,,,DEPARTMENT OF THE ARMY AR,MISCELLANEOUS FIELD OPERATING AGENCIES ARSF,"Trade Representative, Office of United States",,,,International Investment Office,,Food and Drug Administration,,,,,,Chief of Naval Personnel,17,10,Office of Natl Drug Control Policy (NDCP),,,TSA,
,,,,DEPARTMENT OF THE ARMY AR,"JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY ARSJ",Twenty-First Century Workforce Commission,,,,International Trade Administration,,Food and Nutrition Service,,,,,,"Commander, Naval Facilities Engineering Command",17,11,Office of Policy Development,,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY SOUTH ARSO,U.S. Committee on the Marine Transportation System,,,,,,Food Safety and Inspection Service,,,,,,Bureau of Medicine and Surgery,17,12,Office of Science & Technology Policy (OSTP),,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. SPECIAL OPERATIONS COMMAND (ARMY) ARSP,U.S. House of Representatives,,,,Judicial Conference of the United States,,Foreign Agricultural Service,,,,,,"Commander, Naval Air Pacific Fleet",17,13,Office of Surface Mining Reclamation & Enforcement,,,U.S. Air Force,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY ACCESSIONS COMMAND ARTA,U.S. Trade Deficit Review Commission,,,,Justice Programs Office,,Foreign Claims Settlement Commission,,,,,,Naval Materiel Command,17,14,Office of the Comptroller of the Currency (OCC),,,U.S. Army,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY TRAINING AND DOCTRINE COMMAND ARTC,U.S.-China Economic and Security Review Commission,,,,Juvenile Justice and Delinquency Prevention Office,,Forest Service,,,,,,Space and Naval Warfare Systems Command,17,15,Office of the Secretary of Defense,,,U.S. Army Corps of Engineers,
,,,,DEPARTMENT OF THE ARMY AR,U.S. MILITARY ENTRANCE PROCESSING COMMAND ARTM,Unified Carrier Registration Plan,,,,Labor-management Standards Office,,Fulbright Foreign Scholarship Board,,,,,,Oceanographer of the Navy,17,16,Office of the Vice President of the United States,,,U.S. Census Bureau,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY WAR COLLEGE ARTW,United States Enrichment Corporation,,,,Library of Congress,,Government Accountability Office,,,,,,"Commander, Naval Supply Systems Command",17,17,Office of Thrift Supervision (OTS),,,U.S. Centers for Medicare & Medicaid Services,
,,,,DEPARTMENT OF THE ARMY AR,"HEADQUARTERS, AMC ARX2",United States Information Agency,,,,Maritime Administration,,Government National Mortgage Association (Ginnie Mae),,,,,,Naval Telecommunications Command,17,18,On-Site Inspection Agency,,,U.S. Coast Guard,
,,,,DEPARTMENT OF THE ARMY AR,"TRAINING ACTIVITIES, AMC ARX4",United States Olympic and Paralympic Committee,,,,Medicare Payment Advisory Commission,,Government Publishing Office,,,,,,"Commander, Naval Air Systems Command",17,19,Panama Canal Comm,,,U.S. Commerce Department,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY AVIATION AND MISSILE COMMAND ARX6,United States Sentencing Commission,,,,,,Health Resources and Services Administration,,,,,,Naval Security Group Activity,17,20,Patent & Trademark Office (PTO),,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY TANK ARX7,,,,,Mine Safety and Health Administration,,House Office of Inspector General,,,,,,Naval Recruiting Area One,17,21,Pension & Welfare Benefits Administration,,,U.S. Customs and Border Protection,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND ARX8,Valles Caldera Trust,,,,Minerals Management Service,,House Office of the Clerk,,,,,,Naval Intelligence Command Headquarters,17,22,,,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY CHEMICAL MATERIALS AGENCY ARXB,Women's Business Enterprise Interagency Committee,,,,Minority Business Development Agency,,Indian Arts and Crafts Board,,,,,,"Commanding General, 4th Marine Division",17,23,Pentagon Force Protection Agency,,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY SUSTAINMENT COMMAND ARXC,Women's Progress Commemoration Commission,,,,Mississippi River Commission,,Indian Health Service,,,,,,"Commander, Naval Weather Service Command",17,24,Pipeline & Hazardous Materials Safety Administration,,,U.S. Department of Commerce,
,,,,DEPARTMENT OF THE ARMY AR,U. S. ARMY CONTRACTING COMMAND ARXD,,,,,National Agricultural Library,,Indoor Air Quality,,,,,,Naval Reserve Recruiting Command Area Pacific,17,25,Postal Rate Comm,,,,
,,,,DEPARTMENT OF THE ARMY AR,MATERIEL ACQUISITION ACTIVITIES ARXK,,,,,National Agricultural Statistics Service,,Institute of Education Sciences,,,,,,"Commander Military Sealift Command, Wash HQ",17,26,,,,U.S. Department of Education,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY SECURITY ASSISTANCE COMMAND ARXP,,,,,National Commission on Libraries and Information Science,,Interagency Alternative Dispute Resolution Working Group,,,,,,Dept of Navy/Marine Corps Mobilization Command,17,27,President of the U.S.,,,,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY JOINT MUNITIONS COMMAND ARXQ,,,,,,,Interagency Committee for the Management of Noxious and Exotic Weeds,,,,,,Chief of Naval Reserve,17,28,Program Support Center,,,U.S. Department of Health and Human Services,
,,,,DEPARTMENT OF THE ARMY AR,"U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND ARXR",,,,,National Commission on Restructuring the Internal Revenue Service,,Internal Revenue Service,,,,,,Navy Resale Systems Office,17,29,Research & Innovative Technology Administration,,,U.S. Department of Homeland Security,
,,,,DEPARTMENT OF THE ARMY AR,U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND ARXT,,,,,National Communications System,,International Trade Administration,,,,,,Commandant of the Marine Corps,17,30,Risk Management Agency,,,U.S. Department of Housing and Urban Development,
,,,,DEPARTMENT OF THE ARMY AR,MATERIEL READINESS ACTIVITIES ARXX,,,,,National Counterintelligence Center,,Job Corps,,,,,,Naval Recruiting Area Three,17,31,Senate,,,U.S. Department of Justice,
,,,,DEPARTMENT OF THE NAVY NV,IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS NV11,,,,,National Crime Prevention and Privacy Compact Council,,,,,,,,Naval Recruiting Area Four,17,32,St. Lawrence Seaway Development Corporation,,,U.S. Department of Labor,
,,,,DEPARTMENT OF THE NAVY NV,"ASSISTANT FOR ADMINISTRATION, UNDER SECRETARY OF THE NAVY NV12",,,,,National Economic Council,,,,,,,,Chief of Naval Air Training,17,33,,,,U.S. Department of State,
,,,,DEPARTMENT OF THE NAVY NV,OFFICE OF NAVAL RESEARCH NV14,,,,,National Highway Traffic Safety Administration,,Joint Chiefs of Staff,,,,,,Naval Recruiting Area Five,17,34,Substance Abuse & Mental Health Srv Admin (SAMHSA),,,U.S. Department of the Interior,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL INTELLIGENCE COMMAND NV15,,,,,,,Joint Congressional Committee on Inaugural Ceremonies,,,,,,Naval Recruiting Area Seven,17,35,Technology Administration,,,U.S. Department of the Navy,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL MEDICAL COMMAND NV18,,,,,National Institute for Literacy,,Joint Fire Science Program,,,,,,"Commander, Naval Recruiting Command",17,36,Transportation Security Administration (TSA),,,U.S. Department of the Treasury,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL AIR SYSTEMS COMMAND NV19,,,,,National Institute of Corrections,,Joint Forces Staff College,,,,,,"U.S. Marine Corps, Air Bases - Eastern Area",17,37,U.S. Arms Control & Disarmament Agency,,,U.S. Department of Transportation,
,,,,DEPARTMENT OF THE NAVY NV,BUREAU OF NAVAL PERSONNEL NV22,,,,,National Institute of Food and Agriculture,,Joint Program Executive Office for Chemical and Biological Defense,,,,,,"U.S. Marine Corps, Air Bases - Western Area",17,38,U.S. Botanic Garden,,,U.S. Department of Veterans Affairs,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL SUPPLY SYSTEMS COMMAND NV23,,,,,National Institute of Standards and Technology,,Judicial Panel on Multidistrict Litigation,,,,,,"U.S. Marine Corps, Air Reserve Training Command",17,39,U.S. Citizenship & Immigration Services (USCIS),,,U.S. Education Department,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL SEA SYSTEMS COMMAND NV24,,,,,National Institutes of Health,,Library of Congress,,,,,,"U.S. Marine Corps, 6th Marine Corps District",17,40,U.S. Coast Guard (USCG),,,,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL FACILITIES ENGINEERING COMMAND NV25,,,,,National Nanotechnology Coordination Office,,Maritime Administration,,,,,,"U.S. Marine Corps, 1st Marine Corps District",17,41,U.S. Comm on Civil,,,U.S. EXIM Bank,
,,,,DEPARTMENT OF THE NAVY NV,U.S. MARINE CORPS NV27,,,,,National Nuclear Security Administration,,Meat and Poultry Hotline,,,,,,"U.S. Marine Corps, 9th Marine Corps District",17,42,,,,U.S. Fish and Wildlife Service,
,,,,DEPARTMENT OF THE NAVY NV,STRATEGIC SYSTEMS PROGRAMS OFFICE NV30,,,,,National Oceanic and Atmospheric Administration,,Medicaid and CHIP Payment and Access Commission,,,,,,"U.S. Marine Corps, 8th Marine Corps District",17,43,U.S. Copyright Office,,,U.S. Forest Service,
,,,,DEPARTMENT OF THE NAVY NV,MILITARY SEALIFT COMMAND NV33,,,,,National Park Service,,Medicare Payment Advisory Commission,,,,,,"U.S. Marine Corps, 4th Marine Corps District",17,44,U.S. Customs & Border Protection,,,,
,,,,DEPARTMENT OF THE NAVY NV,SPACE AND NAVAL WARFARE SYSTEMS COMMAND NV39,,,,,National Prison Rape Elimination Commission,,Middle East Broadcasting Networks,,,,,,"U.S. Marine Corps, 12th Marine Corps District",17,45,U.S. Fish & Wildlife Service (USFWS),,,U.S. Geological Survey,
,,,,DEPARTMENT OF THE NAVY NV,NAVY SYSTEMS MANAGEMENT ACTIVITY NV41,,,,,National Security Agency/central Security Service,,Migratory Bird Conservation Commission,,,,,,Chief of Naval Technical Training,17,46,U.S. Forest Service,,,U.S. Health and Human Services Department,
,,,,DEPARTMENT OF THE NAVY NV,"COMMANDER, NAVY INSTALLATIONS NV52",,,,,National Security Commission on Artificial Intelligence,,Military Postal Service Agency,,,,,,Chief of Information,17,48,U.S. Geological Survey (USGS),,,U.S. Homeland Security Department,
,,,,DEPARTMENT OF THE NAVY NV,"U.S. ATLANTIC FLEET, COMMANDER IN CHIEF NV60",,,,,National Space Council,,Mine Safety and Health Administration,,,,,,Naval Recruiting Area Eight,17,49,U.S. Immigration & Customs Enforcement (ICE),,,U.S. Housing and Urban Development Department,
,,,,DEPARTMENT OF THE NAVY NV,"U.S. PACIFIC FLEET, COMMANDER IN CHIEF NV70",,,,,National Telecommunications and Information Administration,,Minority Business Development Agency,,,,,,Government Contractors (Exp. Code - Use Code 1799),17,51,U.S. Information Agency (USIA),,,U.S. Immigration and Customs Enforcement,
