title,description,keywords,domain,agency,bureau
,,,eaop.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,<?php=$metaDescription?>,<?php=$metaKeyWords?>,eastcoast.coastwatch.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,eastvhs.services.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
(EcoFOCI) Ecosystems & Fisheries-Oceanography Coordinated Investigations,,,ecofoci.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home | National Marine Ecosystem Status,,,ecowatch.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,eeo.oar.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Environmental Modeling Center (EMC),,,emc.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,envoy.pmel.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home: EPIC and UFS - Earth Prediction Innovation Center,"New Idealized, Regional Tropical Cyclone Test Case Added to UFS Weather ModelRead moreEarth Prediction Innovation Center – Containerized Spack-Stack WorkshopJune 10, 2025 College Park, Maryland and OnlineRead more and registerCADRE-EPIC Data Assimilation TrainingJune 4-6, 2025 Colorado State UniversityRead moreEarth Prediction Innovation Center – Artificial Intelligence in Weather Modeling WorkshopJune 27, 2025 VirtualRead more and registerAI-UFS",,epic.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,SIE,secure network,epp.gsd.esrl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,erav-c.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,erav-e.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,erav-h.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,erav-w.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,erh-s-vpn2.erh.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
ERMA,"US National Oceanic Atmospheric Administration (NOAA),                                     National Ocean Service (NOS),                                     Assessment and Restoration Division (ARD),                                     Environmental Response Management Application (ERMA)",,erma.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,erso.aoml.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,esi.orr.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA Earth System Research Laboratories,"The NOAA Earth System Research Laboratories (ESRL) pursue a broad and comprehensive understanding of the many physical, chemical, and biological processes that comprise the Earth system to better predict their behavior from minutes to millennia on local to global scales.","Earth System Research Laboratories, ESRL, NOAA/ESRL, National Oceanic and Atmospheric Administration, NOAA",esrl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,exemptedhmspermits.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Greater Farallones National Marine Sanctuary,"We protect the wildlife and habitats of one of the most diverse and bountiful marine environments in the world, an area of 3,295 square miles off the northern and central California coast. The waters within Greater Farallones National Marine Sanctuary are part of a nationally significant marine ecosystem. Encompassing a diversity of highly productive marine habitats, the sanctuary supports an abundance of life, including many threatened or endangered species.","farallon, california, san francisco, bay, island, sanctuary, sanctuaries, oceans, marine life, whales, shark, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",farallones.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ferret.pmel.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,fieldterminal.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,NOAA Earth System Research Laboratory has a strong focuson development and improvement of global earth-system modelsin collaboration with other US laboratories.,"FIM, global, RUC, aviation, weather,  NGGPS, FV3,   data asssimilation, Rapid Refresh,  severe weather,  numerical weather prediction, NWP, computer model,  isentropic, precipitation",fim.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Welcome to NOAA | NOAA Fisheries,"NOAA Fisheries—the trusted government authority on the science and management of fish, other marine life, and their habitats.",,www.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,fisheriespermits.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,floatplan.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,floats.pmel.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Florida Keys National Marine Sanctuary,"Florida Keys National Marine Sanctuary is home to a diverse community of underwater habitats, ranging from the only coral barrier reef in the continental United States to the largest documented contiguous seagrass community in the Northern Hemisphere.","Stellwagen, Bank, sanctuary, sanctuaries, oceans, marine life, whales, shark, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",floridakeys.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,Flower Garden Banks National Marine Sanctuary is an underwater park located 80-125 miles off the Texas and Louisiana coastline. this marine protected area is managed by NOAA.,"sanctuary, sanctuaries, oceans, marine life, coral, underwater parks, coast, NOAA, National Oceanic and Atmospheric Administration, sea, Atlantic, Caribbean, Gulf, oceans, seas, reef, reefs, corals, dive, diving, scuba, fish, fishing, buoy, boat, boats, advisory council, events, presentations, calendar, news",flowergarden.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Dr. Nancy Foster Scholarship Program,"The NOAA Dr. Nancy Foster Scholarship Program recognizes outstanding scholarship and encourages independent graduate level researchin NOAA mission-related sciences of oceanography, marine biology and maritime archaeology, including all science, engineering and resource management of ocean and coastal areas. Scholarship selections are based on academic excellence, letters of recommendations, research and career goals and financial need.","foster, scholar, scholarship, graduate, education, oceanography, marine biology, maritime archaeology, santuary, ocean, lakes, marine, whale, turtle, coral, kelp, shipwreck, underwater parks",fosterscholars.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,gandalf.glerl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,gcld.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,gdavis.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA/NOS's VDatum 4.7: Vertical Datums Transformation,,,geodesy.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Geophysical Fluid Dynamics Laboratory,Geophysical Fluid Dynamics Laboratory develops and uses Earth system models and computer simulations to improve our understanding and prediction of all aspects of the climate and weather system,,www.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,gis.charttools.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,gissupport.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
"Home: NOAA Great Lakes Environmental Research Laboratory - Ann Arbor, MI, USA",Information from NOAA-GLERL,"Great Lakes research, NOAA GLERL, Great Lakes Environmental Research Laboratory, ecosystems research,",glerl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,We're the global ocean monitoring and observing program office for NOAA.,,globalocean.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA Global Monitoring Laboratory,"GML conducts research on greenhouse gas and carbon cycle feedbacks, changes in aerosols, and surface radiation, and recovery of stratospheric ozone.","noaa, national oceanic and atmospheric administration, earth system research, esrl, gml, gmd, climate, air quality, numerical modeling, global warming, climate change, ozone, co2, aerosols",gml.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
WebGNOME,,,gnome.orr.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
GOES Imagery Viewer - NOAA / NESDIS / STAR,Near real-time publication of GOES-East and GOES-West images from NOAA/NESDIS/STAR,,goes.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,GOES-R Program NOAA NASA,,goes-r.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,government-shutdown.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,The NOAA Public Exploration Tool enables users to visualize and analyze environmental data for informed decision-making and research.,,graphing.cbex.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Gray's Reef National Marine Sanctuary,Gray's Reef National Marine Sanctuary is an ocean park teeming with life. The natural live-bottom habitats of the sanctuary are representative of others across the region.,"Gray's Reef, sanctuary, sanctuaries, oceans, marine life, whales, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Atlantic, Arctic, Antarctic, Southern Ocean, Indian Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",graysreef.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Action Controller: Exception caught,Global Systems Laboratory,Global Systems Laboratory,gsl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,gulfatlas.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home | Gulf Spill Restoration,,,gulfspillrestoration.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,habsos.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,hads.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Hawaiian Islands Humpback Whale National Marine Sanctuary,"Every winter, thousands of humpback whales travel to the warm, shallow waters of Hawai‘i to mate, give birth, and raise their young. Hawaiian Islands Humpback Whale National Marine Sanctuary protects these whales and their habitat. From November through April, visitors to the sanctuary can see whales from shore and at sea.","hawaii, humpback whale, sanctuary, sanctuaries, oceans, marine life, whales, shark, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",hawaiihumpbackwhale.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,hdsc.nws.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,helpdesk.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,The National Data Buoy Center's High Frequency Radar remotely measures ocean surface currents.,,hfradar.ndbc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,hibase,"hibase, NOAA",hibase.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Coast Survey's Historical Map & Chart Collection,,,historicalcharts.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,hmselectronicmonitoring.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"Welcome to the National Marine Fisheries Service Permit Shop where you can currently buy initial and renewal permits for Atlantic tunas and Atlantic Highly Migratory Species (HMS), update permit information, and report recreational landings of bluefin tuna, blue marlin, white marlin, sailfish, and swordfish.",NMFS NOAA National Marine Fisheries Atlantic bluefin tuna fish permit landings renewal commercial recreational tournament registration angling harpoon longline Magnuson-Stevens AppNet,hmspermits.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,hmsworkshop.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"NOAA's Hydrometeorolgy Testbed (HMT) is a joint OAR—NWS testbed motivated to make communities that are more resilient to the impacts of extreme precipitation on lives, property, water supply and ecosystems.","hydrometeorology testbed, hmt, atmospheric rivers, noaa, national oceanic and atmospheric administration, hydrometeorology, testbed",hmt.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,The NOAA Hazardous Weather Testbed (HWT) is a joint project of the National Weather Service and the National Severe Storms Laboratory. The HWT provides a conceptual framework and a physical space to foster collaboration between research and operations to test and evaluate emerging technologies and science for NWS operations.,,hwt.nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,hydrology.nws.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA SSO,,,hysplit.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
ICOADS,International Comprehensive Ocean-Atmosphere Data Set (ICOADS),"ICOADS, surface marine data, sea surface temperature, air temperature, sea level pressure, wind speed, wind direction, cloudiness",icoads.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,identity2.psl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
US Beacon Registration,,,incidenthistory.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home | IncidentNews | NOAA,,,incidentnews.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,inside.nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Front Page | Integrated Ecosystem Assessment,The Integrated Ecosystem Assessment program is part of the National Oceanic and Atmospheric Administration and directs the execution of Integrated Ecosystem Assessments within five regions in the United States ocean and coastal ecosystems.,,www.integratedecosystemassessment.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,inws.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,inwsqa.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Integrated Ocean & Coastal Mapping,,,iocm.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home - The U.S. Integrated Ocean Observing System (IOOS),,,ioos.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,joinnoaacorps.omao.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,automatic redirection,lamp.mdl.nws.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,lapxnt02-p.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,lcat.nws.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ldas3.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA Library - Homepage - NOAA Library at National Oceanic and Atmospheric Administration,NOAA Library: Homepage: NOAA Library,,library.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,library.oarcloud.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,list.woc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,login.diver.orr.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,lookup.rdc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ls1-vuy.erh.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,madis-data.bldr.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,madis-data.cprk.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,madis-data.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,MADIS (Meteorological Assimilation Data Ingest System),"METEOROLOGICAL DATA, meteorological data, WEATHER DATA, weather data, METEOROLOGICAL DATA ACCESS, meteorological data access, METEOROLOGICAL DATA ASSIMILATION, meteorological data assimilation",madis.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,mageval.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,mag.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,magpara.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,manati.star.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,maps.coastalscience.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,maps.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"The National Oceanic and Atmospheric Administration Marine Debris Program is the United States Government’s lead for addressing the impacts of marine debris on our ocean, waterways, and Great Lakes. We work with organizations around the United States and globally to prevent marine debris from",,marinedebris-cms.orr.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Marine Debris Program,"The National Oceanic and Atmospheric Administration Marine Debris Program is the United States Government’s lead for addressing the impacts of marine debris on our ocean, waterways, and Great Lakes. We work with organizations around the United States and globally to prevent marine debris from",,marinedebris.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
IIS Windows Server,,,marinelife.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,marinenavigation.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
National Marine Protected Areas Center,National Marine Protected Areas Center,"National Marine Protected Area Center, fact sheets, resources, national system, historic parks, data",marineprotectedareas.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,marinerhiring.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,m.cameochemicals.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,mdmap.orr.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,mmhsrp.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,mobile.tidesandcurrents.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Monitor National Marine Sanctuary,Monitor National Marine Sanctuary is the first national marine sanctuary ever designated in the United States. It protects the wreck of the famed Civil War ironclad USS Monitor.,"american samoa, island, sanctuary, sanctuaries, oceans, marine life, whales, shark, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",monitor.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Monterey Bay National Marine Sanctuary,"NOAA's Monterey Bay National Marine Sanctuary hosts a remarkably productive marine environment containing extensive kelp forests, rugged rocky shores, wave-swept sandy beaches, tranquil estuaries, towering seamounts, and deep-sea canyons. Stretching 276 miles of coastline and consisting of 6,094 square miles, the sanctuary was designated in 1992 to protect incredible marine ecosystems and cultural and maritime resources while promoting sustainable use.","volunteer, intern, foundation, email lists, monterey bay, mbnms, ocean, monterey bay canyon, seamount, whales, shark, kelp, underwater parks, coast, chart, navigation, onms, NOAA, office of national marine sanctuaries,National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",montereybay.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"The NOAA National Severe Storms Laboratory is collecting public weather reports through a free app available for smart phones or mobile devices. The app is called 'mPING,' for Meteorological Phenomena Identification Near the Ground.",,mping.nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,mrms.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"NSSL's Multi-Radar/Multi-Sensor (MRMS) is a system of automated algorithms that quickly and intelligently integrate data streams from multiple radars, surface and upper air observations, lightning detection systems, and satellite and forecast models. MRMS was developed to produce severe weather and precipitation products for improved decision-making capability to improve severe weather forecasts and warnings, hydrology, aviation, and numerical weather prediction.",,mrms.nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
U.S. Office of Coast Survey,,,nauticalcharts.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,"VIIRS, VIIRS SDR, GOES-R ABI, Calibration, Knowledge base",ncc.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
National Centers for Environmental Information (NCEI),"NCEI archives and provides access to environmental data to drive resilience, prosperity, and equity for current and future generations.","climate,data,observations,weather,coasts,oceans,geophysics,satellites",www.ncei.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"This GIS application allows users to explore coral reef information like benthic, fish, climate, and socioeconomic data. Users can view graphs and download data on the status and trends of U.S. coral reefs in Guam, CNMI, Hawaii, and more","NOAA, arcgis online, spatial data, dashboards, data visualization, coral, coral reef, reef fish, acidification, ocean acidity, ocean climate, socioeconomic",ncrmp.coralreef.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ncsceast.csp.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ncscwest.csp.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,nctr.pmel.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ndl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
"NESDIS | National Environmental Satellite, Data, and Information Service NESDIS | National Environmental Satellite, Data, and Information Service","Here at the National Environmental Satellite, Data, and Information Service (NESDIS) we provide secure and timely access to global environmental data and information from satellites and other sources to promote and protect the Nation's security, environment, economy, and quality of life.",,www.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,new-ready.arl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home,,,ngs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
National Hurricane Center,,,www.nhc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,nimoweb.rdc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
National Oceanic and Atmospheric Administration,U.S. Department of Commerce,,www.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,noaaonline.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAASIS,,,noaasis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"Geophysical Fluid Dynamics Laboratory conducts research in atmospheric, climate, and ocean sciences. Geophysical Fluid Dynamics Laboratory is part of the National Oceanic and Atmospheric Administration",download data sets GFDL NOMADS ESP data1 NOAA climate model,nomads.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,nomads.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Sanctuary Nomination Process,NOAA invites communities across the nation to nominate their most treasured places in our marine and Great Lakes waters for consideration as national marine sanctuaries.,"santuary, ocean, lakes, marine, whale, turtle, coral, kelp, shipwreck, underwater parks",nominate.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home | NOAA Observing Systems Council (NOSC),The NOAA Observing Systems Council is a cross-NOAA body that makes recommendations to NOAA leadership about managing and investing in NOAA's large collection of observing systems.,,nosc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
nowCOAST,"nowCOAST: NOAA's Cloud-Based Prototype Web Mapping Portal to Real-Time Coastal Observations, Forecasts and Warnings.",,nowcoast.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,nsde.ngs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,The NOAA Staff Directory (NSD) web site provides centralized staff directory access across multiple agencies.,"NOAA staff directory, NOAA NSD, NSD, staff, directory, employees",nsd.rdc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA National Severe Storms Laboratory,The NOAA National Severe Storms Laboratory serves the nation by working to improve the lead time and accuracy of severe weather warnings and forecasts in order to save lives and reduce property damage.,,nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ntwc.arh.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ntwc.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,nweb.ngs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,nws-vpn.irc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home - NOAA Ocean Acidification Program,NOAA's Ocean Acidification Program prepares us for the impacts of ocean acidification through research and interdisciplinary partnerships.,,oceanacidification.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home: NOAA Ocean Exploration,,,oceanexplorer.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,oceannoise.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA's National Ocean Service,"In the U.S., where over half of us live along the coast and more than 78 percent of our overseas trade by volume comes and goes along our marine highways, the health of our coasts is intricately connected to the health of our nation's economy. The National Ocean Service (NOS) translates science, tools, and services into action, to address threats to coastal areas such as climate change, population growth, port congestion, and contaminants in the environment, all working towards healthy coasts and healthy economies.","Ocean Service, ocean, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Atlantic, Arctic, Antarctic, Southern Ocean, Indian Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats, hurricane, typhoon, tsunami, cyclone, el nino, la nina",oceanservice.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Ocean Today | Watch. Discover. Learn. | Ocean Today videos focus on both the ocean's influence on us and our influence upon the ocean.,,"NOAA, Ocean, Kiosk, Ocean Today Kiosk",oceantoday.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,oceanview.pfeg.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"NOAA CoastWatch exists to help people access and use global and regional satellite data for ocean and coastal applications. Our satellite data products and services can support research, resource management, and decision-making on topics such as understanding, managing and protecting ocean and coastal resources and for assessing impacts of environmental change in ecosystems, weather, and climate.",,oceanwatch.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ocsdata.ncd.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,oculus.atdd.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"NOAA established the Ocean Exploration Advisory Board (OEAB) under the Federal Advisory Committee Act and legislation that gives NOAA statutory authority to operate an ocean exploration program and to coordinate a national program of ocean exploration. The OEAB advises NOAA leadership on: strategic planning exploration priorities competitive ocean exploration grant programs; and, other matters as […]",,oeab.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"Tides & Currents Home Page. CO-OPS provides the national infrastructure, science, and technical expertise to monitor, assess, and distribute tide, current, water level, and other coastal oceanographic products and services that support NOAA's mission of environmental stewardship and environmental assessment and prediction. CO-OPS provides operationally sound observations and monitoring capabilities coupled with operational Nowcast Forecast modeling.",,old.tidesandcurrents.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Olympic Coast National Marine Sanctuary,"Olympic Coast National Marine Sanctuary is one of the nation's most treasured ocean areas, and home to a rich abundance of marine mammals, seabirds, fish, and thriving invertebrate communities.","american samoa, island, sanctuary, sanctuaries, oceans, marine life, whales, shark, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",olympiccoast.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home Page | Office of Marine and Aviation Operations,,,omao.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,opendap.co-ops.nos.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,opengeo.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,NOAA's CLASS is a digital library of real-time and historical satellite data from NOAA's Polar-orbiting Operational Environmental Satellites (POES).,"CLASS, Satellite Active Archive, SAA, satellite data, poes, goes, avhrr, level 1b, gac, lac, hrpt, tovs, atovs, dmsp, ssmi, ssmt-1, ssmt-2, tiros, noaa, nesdis, ncdc, weather, climate, remote sensing, aerosol, SST, meteorolgy, earth, pathfinder, NASA, soundings, GOES, ocean color, ozone, sea ice, SAR",order.aev.class.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,NOAA's CLASS is a digital library of real-time and historical satellite data from NOAA's Polar-orbiting Operational Environmental Satellites (POES).,"CLASS, Satellite Active Archive, SAA, satellite data, poes, goes, avhrr, level 1b, gac, lac, hrpt, tovs, atovs, dmsp, ssmi, ssmt-1, ssmt-2, tiros, noaa, nesdis, ncdc, weather, climate, remote sensing, aerosol, SST, meteorolgy, earth, pathfinder, NASA, soundings, GOES, ocean color, ozone, sea ice, SAR",order.class.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,orta.research.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,osm.woc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
OSPO | Office of Satellite and Product Operations,"NOAA's Office of Satellite & Product Operations manages environmental satellites & delivers data for weather forecasting, climate monitoring & hazard detection.",,ospo.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
